Date,Open,High,Low,Close,Adj Close,Volume
2022-10-07,2408.989990,2409.000000,2285.000000,2295.949951,2295.949951,24651
2022-10-10,2297.000000,2315.000000,2249.449951,2278.110107,2278.110107,3384
2022-10-11,2274.000000,2297.199951,2210.000000,2258.209961,2258.209961,9876
2022-10-12,2250.000000,2273.350098,2234.949951,2262.810059,2262.810059,5999
2022-10-13,2183.949951,2256.810059,2136.000000,2252.310059,2252.310059,5742
2022-10-14,2293.139893,2293.139893,2146.649902,2152.129883,2152.129883,7462
2022-10-17,2190.000000,2283.989990,2190.000000,2281.449951,2281.449951,4380
2022-10-18,2350.000000,2380.000000,2305.000000,2324.100098,2324.100098,16034
2022-10-19,2316.850098,2335.000000,2288.870117,2306.820068,2306.820068,5388
2022-10-20,2293.989990,2367.000000,2293.989990,2315.189941,2315.189941,14316
2022-10-21,2315.189941,2384.510010,2310.000000,2377.129883,2377.129883,3892
2022-10-24,2399.000000,2399.000000,2330.889893,2389.159912,2389.159912,14844
2022-10-25,2396.100098,2404.830078,2370.300049,2399.429932,2399.429932,4142
2022-10-26,2369.989990,2369.989990,2280.000000,2307.770020,2307.770020,15582
2022-10-27,2280.000000,2280.000000,2175.399902,2201.889893,2201.889893,16359
2022-10-28,1930.000000,2054.929932,1930.000000,2043.069946,2043.069946,298738
2022-10-31,2054.909912,2079.989990,1999.560059,2026.930054,2026.930054,20665
2022-11-01,2041.770020,2042.500000,1896.000000,1909.280029,1909.280029,51787
2022-11-03,1900.000000,1900.000000,1755.000000,1763.880005,1763.880005,35660
2022-11-04,1765.079956,1797.000000,1724.000000,1773.829956,1773.829956,49987
2022-11-07,1795.000000,1795.000000,1735.959961,1761.689941,1761.689941,8572
2022-11-08,1765.000000,1788.989990,1730.000000,1770.040039,1770.040039,20161
2022-11-09,1765.000000,1765.000000,1682.000000,1688.760010,1688.760010,45790
2022-11-10,1750.000000,1898.869995,1750.000000,1863.239990,1863.239990,94931
2022-11-11,1880.000000,1971.000000,1880.000000,1964.109985,1964.109985,39876
2022-11-14,1964.109985,1964.109985,1899.000000,1904.670044,1904.670044,33217
2022-11-15,1960.000000,2005.000000,1900.000000,1915.630005,1915.630005,19254
2022-11-16,1900.000000,1900.989990,1850.000000,1884.030029,1884.030029,13603
2022-11-17,1852.000000,1875.000000,1827.010010,1838.699951,1838.699951,11661
2022-11-18,1843.069946,1855.130005,1805.000000,1831.050049,1831.050049,20697
2022-11-22,1831.050049,1831.050049,1779.099976,1807.000000,1807.000000,9343
2022-11-23,1810.000000,1830.000000,1797.979980,1822.410034,1822.410034,19147
2022-11-24,1830.000000,1860.000000,1830.000000,1857.660034,1857.660034,446
2022-11-25,1855.920044,1855.920044,1801.000000,1809.430054,1809.430054,4180
2022-11-28,1810.010010,1856.000000,1804.589966,1808.410034,1808.410034,14087
